open,high,low,close,date
1298.92,1300.14,1294.02,1298.92,"Sep 8, 2006"
1299.54,1302.36,1290.93,1299.54,"Sep 11, 2006"
1313.11,1314.28,1299.53,1313.11,"Sep 12, 2006"
1318.07,1319.92,1311.12,1318.07,"Sep 13, 2006"
1316.28,1318.00,1313.25,1316.28,"Sep 14, 2006"
1319.87,1324.65,1317.48,1319.87,"Sep 15, 2006"
1321.18,1324.87,1318.16,1321.18,"Sep 18, 2006"
1318.31,1322.04,1312.17,1318.31,"Sep 19, 2006"
1325.18,1328.53,1318.28,1325.18,"Sep 20, 2006"
1318.03,1328.19,1315.45,1318.03,"Sep 21, 2006"
1314.78,1317.74,1310.94,1314.78,"Sep 22, 2006"
1326.37,1329.35,1311.58,1326.37,"Sep 25, 2006"
1336.34,1336.60,1325.30,1336.34,"Sep 26, 2006"
1336.59,1340.08,1333.54,1336.59,"Sep 27, 2006"
1339.15,1340.28,1333.75,1339.15,"Sep 28, 2006"
1335.85,1339.88,1335.64,1335.85,"Sep 29, 2006"
1331.32,1338.54,1330.28,1331.32,"Oct 2, 2006"
1334.11,1338.31,1327.10,1334.11,"Oct 3, 2006"
1350.22,1350.22,1331.48,1350.22,"Oct 4, 2006"
1353.22,1353.79,1347.75,1353.22,"Oct 5, 2006"
1349.58,1352.42,1344.21,1349.58,"Oct 6, 2006"
1350.66,1352.69,1346.55,1350.66,"Oct 9, 2006"
1353.42,1354.23,1348.60,1353.42,"Oct 10, 2006"
1349.95,1353.97,1343.57,1349.95,"Oct 11, 2006"
1362.83,1363.76,1352.87,1362.83,"Oct 12, 2006"
1365.62,1366.63,1360.50,1365.62,"Oct 13, 2006"
1369.05,1370.20,1364.48,1369.05,"Oct 16, 2006"
1364.05,1367.71,1356.87,1364.05,"Oct 17, 2006"
1365.96,1372.72,1360.95,1365.96,"Oct 18, 2006"
1366.96,1368.09,1362.06,1366.96,"Oct 19, 2006"
1368.60,1368.66,1362.10,1368.60,"Oct 20, 2006"
1377.02,1377.40,1363.94,1377.02,"Oct 23, 2006"
1377.38,1377.78,1372.42,1377.38,"Oct 24, 2006"
1382.22,1383.61,1376.00,1382.22,"Oct 25, 2006"
1389.08,1389.45,1379.47,1389.08,"Oct 26, 2006"
1377.34,1388.62,1375.85,1377.34,"Oct 27, 2006"
1377.93,1381.22,1373.46,1377.93,"Oct 30, 2006"
1377.94,1381.21,1372.19,1377.94,"Oct 31, 2006"
1367.81,1381.95,1366.26,1367.81,"Nov 1, 2006"
1367.34,1368.39,1362.21,1367.34,"Nov 2, 2006"
1364.30,1371.68,1360.98,1364.30,"Nov 3, 2006"
1379.78,1381.40,1364.36,1379.78,"Nov 6, 2006"
1382.84,1388.19,1379.19,1382.84,"Nov 7, 2006"
1385.72,1388.61,1376.29,1385.72,"Nov 8, 2006"
1378.33,1388.92,1377.31,1378.33,"Nov 9, 2006"
1380.90,1381.04,1375.60,1380.90,"Nov 10, 2006"
1384.42,1387.61,1378.80,1384.42,"Nov 13, 2006"
1393.22,1394.49,1379.07,1393.22,"Nov 14, 2006"
1396.57,1401.35,1392.13,1396.57,"Nov 15, 2006"
1399.76,1403.76,1396.53,1399.76,"Nov 16, 2006"
1401.20,1401.21,1394.55,1401.20,"Nov 17, 2006"
1400.50,1404.37,1397.85,1400.50,"Nov 20, 2006"
1402.81,1403.49,1399.99,1402.81,"Nov 21, 2006"
1406.09,1407.89,1402.26,1406.09,"Nov 22, 2006"
1400.95,1405.94,1399.25,1400.95,"Nov 24, 2006"
1381.90,1400.43,1381.44,1381.90,"Nov 27, 2006"
1386.72,1387.91,1377.83,1386.72,"Nov 28, 2006"
1399.48,1401.14,1386.94,1399.48,"Nov 29, 2006"
1400.63,1406.30,1393.83,1400.63,"Nov 30, 2006"
1396.71,1402.46,1385.93,1396.71,"Dec 1, 2006"
1409.12,1411.23,1396.67,1409.12,"Dec 4, 2006"
1414.76,1415.27,1408.78,1414.76,"Dec 5, 2006"
1412.90,1415.93,1411.05,1412.90,"Dec 6, 2006"
1407.29,1418.27,1406.80,1407.29,"Dec 7, 2006"
