day,num,ticket,time,exit,enter
09/30/2015,59673,66,09/30/2015 08:00:15,18,40
09/30/2015,59674,50,09/30/2015 08:00:16,41,35
09/30/2015,59675,102,09/30/2015 08:00:16,5,28
09/30/2015,59676,68,09/30/2015 08:00:16,42,23
09/30/2015,59677,50,09/30/2015 08:00:16,42,22
09/30/2015,59678,73,09/30/2015 08:00:16,40,19
09/30/2015,59679,50,09/30/2015 08:00:16,40,9
09/30/2015,59680,73,09/30/2015 08:00:16,40,28
09/30/2015,59681,73,09/30/2015 08:00:16,18,41
09/30/2015,59682,66,09/30/2015 08:00:16,18,43
09/30/2015,59683,66,09/30/2015 08:00:16,18,37
09/30/2015,59684,66,09/30/2015 08:00:16,19,41
09/30/2015,59685,50,09/30/2015 08:00:17,42,23
09/30/2015,59686,66,09/30/2015 08:00:17,41,39
09/30/2015,59687,50,09/30/2015 08:00:17,41,38
09/30/2015,59688,73,09/30/2015 08:00:17,41,36
09/30/2015,59689,73,09/30/2015 08:00:17,41,38
09/30/2015,59690,73,09/30/2015 08:00:17,41,37
09/30/2015,59691,73,09/30/2015 08:00:17,40,29
09/30/2015,59692,66,09/30/2015 08:00:17,40,22
09/30/2015,59693,66,09/30/2015 08:00:17,40,22
09/30/2015,59694,66,09/30/2015 08:00:17,40,20
09/30/2015,59695,73,09/30/2015 08:00:17,18,35
09/30/2015,59696,73,09/30/2015 08:00:17,18,12
09/30/2015,59697,73,09/30/2015 08:00:17,18,6
09/30/2015,59698,66,09/30/2015 08:00:17,16,25
09/30/2015,59699,73,09/30/2015 08:00:17,19,41
09/30/2015,59700,73,09/30/2015 08:00:17,19,48
09/30/2015,59701,66,09/30/2015 08:00:17,18,45
09/30/2015,59702,50,09/30/2015 08:00:17,18,36
09/30/2015,59703,66,09/30/2015 08:00:17,18,16
09/30/2015,59704,66,09/30/2015 08:00:18,41,16
09/30/2015,59705,50,09/30/2015 08:00:18,42,23
09/30/2015,59706,66,09/30/2015 08:00:18,41,34
09/30/2015,59707,73,09/30/2015 08:00:18,41,35
09/30/2015,59708,66,09/30/2015 08:00:18,41,36
09/30/2015,59709,73,09/30/2015 08:00:18,41,30
09/30/2015,59710,66,09/30/2015 08:00:18,41,38
09/30/2015,59711,66,09/30/2015 08:00:18,41,33
09/30/2015,59712,73,09/30/2015 08:00:18,40,9
09/30/2015,59713,66,09/30/2015 08:00:18,40,19
09/30/2015,59714,66,09/30/2015 08:00:18,40,22
09/30/2015,59715,66,09/30/2015 08:00:18,40,21
09/30/2015,59716,73,09/30/2015 08:00:18,18,41
09/30/2015,59717,73,09/30/2015 08:00:18,18,41
09/30/2015,59718,66,09/30/2015 08:00:18,18,30
09/30/2015,59719,66,09/30/2015 08:00:18,18,11
09/30/2015,59720,66,09/30/2015 08:00:18,19,40
09/30/2015,59721,66,09/30/2015 08:00:19,5,43
09/30/2015,59722,73,09/30/2015 08:00:19,41,35
09/30/2015,59723,66,09/30/2015 08:00:19,41,16
09/30/2015,59724,50,09/30/2015 08:00:19,41,11
09/30/2015,59725,66,09/30/2015 08:00:19,41,18
09/30/2015,59726,50,09/30/2015 08:00:19,40,29
09/30/2015,59727,68,09/30/2015 08:00:19,40,9
09/30/2015,59728,66,09/30/2015 08:00:19,40,20
09/30/2015,59729,66,09/30/2015 08:00:19,18,12
09/30/2015,59730,73,09/30/2015 08:00:19,16,24
09/30/2015,59731,50,09/30/2015 08:00:19,16,29
09/30/2015,59732,50,09/30/2015 08:00:19,20,40
09/30/2015,59733,66,09/30/2015 08:00:19,18,40
09/30/2015,59734,66,09/30/2015 08:00:20,41,37
09/30/2015,59735,66,09/30/2015 08:00:20,41,33
09/30/2015,59736,73,09/30/2015 08:00:20,41,16
09/30/2015,59737,73,09/30/2015 08:00:20,41,30
09/30/2015,59738,50,09/30/2015 08:00:20,41,17
09/30/2015,59739,66,09/30/2015 08:00:20,41,36
09/30/2015,59740,73,09/30/2015 08:00:20,41,34
09/30/2015,59741,66,09/30/2015 08:00:20,40,39
09/30/2015,59742,66,09/30/2015 08:00:20,40,39
09/30/2015,59743,66,09/30/2015 08:00:20,18,16
09/30/2015,59744,66,09/30/2015 08:00:20,18,44
09/30/2015,59745,100,09/30/2015 08:00:20,17,11
09/30/2015,59746,50,09/30/2015 08:00:20,11,18
09/30/2015,59747,50,09/30/2015 08:00:20,20,43
09/30/2015,59748,66,09/30/2015 08:00:20,48,22
09/30/2015,59749,69,09/30/2015 08:00:21,44,10
09/30/2015,59750,50,09/30/2015 08:00:21,41,18
09/30/2015,59751,66,09/30/2015 08:00:21,40,20
09/30/2015,59752,66,09/30/2015 08:00:21,40,30
09/30/2015,59753,66,09/30/2015 08:00:21,40,18
09/30/2015,59754,66,09/30/2015 08:00:21,18,41
09/30/2015,59755,73,09/30/2015 08:00:21,18,43
09/30/2015,59756,73,09/30/2015 08:00:21,18,41
09/30/2015,59757,73,09/30/2015 08:00:21,16,27
09/30/2015,59758,50,09/30/2015 08:00:22,44,39
09/30/2015,59759,66,09/30/2015 08:00:22,42,20
09/30/2015,59760,66,09/30/2015 08:00:22,41,31
09/30/2015,59761,50,09/30/2015 08:00:22,41,39
09/30/2015,59762,73,09/30/2015 08:00:22,41,30
09/30/2015,59763,66,09/30/2015 08:00:22,41,10
09/30/2015,59764,73,09/30/2015 08:00:22,41,36
09/30/2015,59765,73,09/30/2015 08:00:22,41,31
09/30/2015,59766,66,09/30/2015 08:00:22,40,19
09/30/2015,59767,73,09/30/2015 08:00:22,40,29
09/30/2015,59768,50,09/30/2015 08:00:22,40,39
09/30/2015,59769,73,09/30/2015 08:00:22,16,24
09/30/2015,59770,73,09/30/2015 08:00:22,18,44
09/30/2015,59771,73,09/30/2015 08:00:23,41,33
09/30/2015,59772,50,09/30/2015 08:00:23,41,18
09/30/2015,59773,66,09/30/2015 08:00:23,41,31
09/30/2015,59774,66,09/30/2015 08:00:23,41,31
09/30/2015,59775,73,09/30/2015 08:00:23,41,35
09/30/2015,59776,66,09/30/2015 08:00:23,41,38
09/30/2015,59777,73,09/30/2015 08:00:23,40,9
09/30/2015,59778,73,09/30/2015 08:00:23,40,28
09/30/2015,59779,66,09/30/2015 08:00:23,18,42
09/30/2015,59780,73,09/30/2015 08:00:23,18,43
09/30/2015,59781,50,09/30/2015 08:00:23,18,30
09/30/2015,59782,73,09/30/2015 08:00:23,18,35
09/30/2015,59783,66,09/30/2015 08:00:23,18,30
09/30/2015,59784,73,09/30/2015 08:00:23,18,5
09/30/2015,59785,66,09/30/2015 08:00:23,18,11
09/30/2015,59786,66,09/30/2015 08:00:23,16,33
09/30/2015,59787,68,09/30/2015 08:00:23,18,31
09/30/2015,59788,66,09/30/2015 08:00:24,41,33
09/30/2015,59789,69,09/30/2015 08:00:24,47,7
09/30/2015,59790,66,09/30/2015 08:00:24,42,30
09/30/2015,59791,66,09/30/2015 08:00:24,41,16
09/30/2015,59792,50,09/30/2015 08:00:24,40,33
09/30/2015,59793,68,09/30/2015 08:00:24,40,39
09/30/2015,59794,50,09/30/2015 08:00:24,40,19
09/30/2015,59795,73,09/30/2015 08:00:24,40,29
09/30/2015,59796,66,09/30/2015 08:00:24,40,21
09/30/2015,59797,73,09/30/2015 08:00:24,40,21
09/30/2015,59798,66,09/30/2015 08:00:24,18,30
09/30/2015,59799,73,09/30/2015 08:00:24,16,22
09/30/2015,59800,66,09/30/2015 08:00:24,16,21
09/30/2015,59801,66,09/30/2015 08:00:25,43,22
09/30/2015,59802,66,09/30/2015 08:00:25,41,33
09/30/2015,59803,50,09/30/2015 08:00:25,41,16
09/30/2015,59804,73,09/30/2015 08:00:25,41,34
09/30/2015,59805,66,09/30/2015 08:00:25,41,35
09/30/2015,59806,66,09/30/2015 08:00:25,41,34
09/30/2015,59807,73,09/30/2015 08:00:25,41,35
09/30/2015,59808,66,09/30/2015 08:00:25,41,34
09/30/2015,59809,73,09/30/2015 08:00:25,40,29
09/30/2015,59810,66,09/30/2015 08:00:25,40,20
09/30/2015,59811,50,09/30/2015 08:00:25,40,20
